,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,importance
107,price_diff-std,8,8,6,8,43,42,2,24,47,13,20.1
108,price_diff-skew,21,19,13,23,77,63,2,40,65,9,33.2
109,total_diff-mean,11,10,4,12,51,33,1,19,28,9,17.8
110,total_diff-max,8,8,6,7,45,39,3,15,33,4,16.8
111,total_diff-min,10,3,8,12,46,35,2,29,21,8,17.4
112,total_diff-sum,5,11,5,8,30,27,0,14,33,6,13.9
113,total_diff-count,0,0,0,0,0,0,0,0,0,0,0.0
114,total_diff-std,6,14,5,11,34,32,3,24,35,6,17.0
115,total_diff-skew,21,13,5,10,54,46,3,30,48,10,24.0
116,month-mode,16,14,5,15,31,39,1,27,32,13,19.3
117,year_month-mode,24,25,19,22,55,37,11,28,48,11,28.0
