iter	Passed	Remaining
590	4319	2989
591	4331	2985
592	4340	2979
593	4350	2973
594	4358	2966
595	4364	2958
596	4370	2950
597	4376	2942
598	4382	2934
599	4389	2926
600	4395	2918
601	4402	2910
602	4408	2902
603	4414	2894
604	4420	2886
605	4426	2878
606	4432	2870
607	4439	2861
608	4445	2853
609	4451	2845
610	4457	2837
611	4463	2830
612	4470	2822
613	4476	2814
614	4482	2806
615	4488	2798
616	4494	2790
617	4501	2782
618	4507	2774
619	4513	2766
620	4519	2758
621	4526	2750
622	4532	2742
623	4538	2734
624	4545	2727
625	4552	2719
626	4558	2711
627	4564	2703
628	4570	2695
629	4576	2688
630	4586	2682
631	4599	2677
632	4609	2672
633	4616	2665
634	4623	2657
635	4629	2649
636	4635	2641
637	4641	2633
638	4648	2625
639	4654	2617
640	4660	2610
641	4666	2602
642	4672	2594
643	4678	2586
644	4685	2578
645	4691	2570
646	4697	2562
647	4703	2555
648	4710	2547
649	4716	2539
650	4722	2531
651	4728	2523
652	4734	2515
653	4740	2508
654	4746	2500
655	4752	2492
656	4758	2484
657	4764	2476
658	4771	2468
659	4777	2461
660	4784	2453
661	4790	2445
662	4796	2438
663	4802	2430
664	4808	2422
665	4815	2414
666	4821	2406
667	4827	2399
668	4836	2392
669	4847	2387
670	4859	2382
671	4872	2378
672	4882	2372
673	4893	2366
674	4903	2361
675	4911	2353
676	4917	2346
677	4923	2338
678	4929	2330
679	4935	2322
680	4942	2315
681	4948	2307
682	4955	2299
683	4961	2292
684	4967	2284
685	4973	2276
686	4979	2268
687	4986	2261
688	4992	2253
689	4998	2245
690	5004	2237
691	5010	2230
692	5016	2222
693	5022	2214
694	5028	2206
695	5034	2199
696	5041	2191
697	5047	2183
698	5053	2176
699	5059	2168
700	5073	2164
701	5084	2158
702	5094	2152
703	5102	2145
704	5109	2137
705	5115	2130
706	5121	2122
707	5127	2114
708	5133	2107
709	5139	2099
710	5146	2091
711	5152	2084
712	5158	2076
713	5165	2069
714	5171	2061
715	5177	2053
716	5183	2046
717	5189	2038
718	5196	2030
719	5202	2023
720	5208	2015
721	5214	2007
722	5220	2000
723	5226	1992
724	5232	1984
725	5238	1977
726	5245	1969
727	5251	1962
728	5257	1954
729	5269	1948
730	5278	1942
731	5288	1936
732	5297	1929
733	5303	1921
734	5309	1914
735	5315	1906
736	5321	1898
737	5327	1891
738	5333	1883
739	5339	1876
740	5347	1869
741	5353	1861
742	5363	1855
743	5372	1848
744	5389	1844
745	5401	1839
746	5415	1834
747	5428	1828
748	5439	1822
749	5450	1816
750	5462	1811
751	5472	1804
752	5478	1797
753	5485	1789
754	5490	1781
755	5497	1774
756	5503	1766
757	5509	1758
758	5515	1751
759	5521	1743
760	5527	1736
761	5534	1728
762	5540	1720
763	5546	1713
764	5552	1705
765	5559	1698
766	5565	1690
767	5571	1683
768	5577	1675
769	5583	1667
770	5590	1660
771	5596	1652
772	5602	1645
773	5609	1637
774	5616	1630
775	5639	1627
776	5655	1623
777	5669	1617
778	5683	1612
779	5698	1607
780	5712	1601
781	5723	1595
782	5731	1588
783	5738	1581
784	5745	1573
785	5751	1565
786	5757	1558
787	5764	1550
788	5771	1543
789	5777	1535
790	5783	1528
791	5789	1520
792	5795	1512
793	5801	1505
794	5807	1497
795	5813	1490
796	5820	1482
797	5826	1474
798	5832	1467
799	5839	1459
800	5845	1452
801	5851	1444
802	5858	1437
803	5864	1429
804	5870	1422
805	5876	1414
806	5882	1406
807	5889	1399
808	5898	1392
809	5911	1386
810	5923	1380
811	5931	1373
812	5938	1365
813	5944	1358
814	5950	1350
815	5956	1343
816	5963	1335
817	5969	1328
818	5975	1320
819	5981	1313
820	5987	1305
821	5994	1298
822	6000	1290
823	6006	1282
824	6012	1275
825	6018	1267
826	6024	1260
827	6031	1252
828	6037	1245
829	6043	1237
830	6049	1230
831	6055	1222
832	6061	1215
833	6067	1207
834	6073	1200
835	6080	1192
836	6086	1185
837	6092	1177
838	6098	1170
839	6104	1162
840	6110	1155
841	6117	1147
842	6123	1140
843	6129	1132
844	6135	1125
845	6141	1117
846	6147	1110
847	6154	1103
848	6160	1095
849	6166	1088
850	6173	1080
851	6179	1073
852	6185	1065
853	6191	1058
854	6197	1051
855	6203	1043
856	6209	1036
857	6215	1028
858	6222	1021
859	6227	1013
860	6234	1006
861	6240	999
862	6246	991
863	6252	984
864	6258	976
865	6264	969
866	6270	961
867	6277	954
868	6283	947
869	6289	939
870	6295	932
871	6301	925
872	6308	917
873	6314	910
874	6320	902
875	6326	895
876	6332	888
877	6338	880
878	6345	873
879	6351	866
880	6357	858
881	6363	851
882	6369	843
883	6375	836
884	6381	829
885	6388	821
886	6394	814
887	6400	807
888	6407	799
889	6417	793
890	6426	786
891	6434	779
892	6443	772
893	6451	764
894	6463	758
895	6472	751
896	6480	744
897	6486	736
898	6493	729
899	6499	722
900	6505	714
901	6511	707
902	6518	700
903	6524	692
904	6530	685
905	6537	678
906	6543	670
907	6549	663
908	6555	656
909	6561	648
910	6567	641
911	6573	634
912	6580	627
913	6586	619
914	6592	612
915	6598	605
916	6605	597
917	6611	590
918	6617	583
919	6623	575
920	6629	568
921	6635	561
922	6641	554
923	6648	546
924	6655	539
925	6662	532
926	6668	525
927	6674	517
928	6680	510
929	6686	503
930	6692	496
931	6698	488
932	6705	481
933	6711	474
934	6717	466
935	6723	459
936	6729	452
937	6735	445
938	6742	438
939	6748	430
940	6755	423
941	6761	416
942	6767	409
943	6774	401
944	6780	394
945	6786	387
946	6792	380
947	6798	372
948	6804	365
949	6811	358
950	6817	351
951	6823	344
952	6829	336
953	6835	329
954	6841	322
955	6847	315
956	6853	307
957	6860	300
958	6866	293
959	6872	286
960	6879	279
961	6885	271
962	6891	264
963	6897	257
964	6904	250
965	6910	243
966	6916	236
967	6922	228
968	6929	221
969	6935	214
970	6941	207
971	6955	200
972	6963	193
973	6974	186
974	6983	179
975	6994	171
976	7003	164
977	7013	157
978	7024	150
979	7037	143
980	7048	136
981	7058	129
982	7065	122
983	7071	114
984	7077	107
985	7087	100
986	7096	93
987	7106	86
988	7115	79
989	7125	71
990	7135	64
991	7145	57
992	7156	50
993	7165	43
994	7173	36
995	7179	28
996	7186	21
997	7192	14
998	7198	7
999	7204	0
