iter	Passed	Remaining
621	21848	2682481
622	21881	2682244
623	21916	2682100
624	21951	2682069
625	21985	2681909
626	22017	2681534
627	22050	2681247
628	22084	2681092
629	22118	2680847
630	22150	2680428
631	22182	2679999
632	22220	2680359
633	22259	2680784
634	22291	2680390
635	22325	2680233
636	22358	2679984
637	22391	2679620
638	22426	2679543
639	22457	2679109
640	22490	2678841
641	22523	2678515
642	22555	2678146
643	22588	2677765
644	22621	2677571
645	22660	2677979
646	22694	2677784
647	22724	2677133
648	22757	2676910
649	22790	2676604
650	22822	2676215
651	22854	2675787
652	22887	2675574
653	22919	2675155
654	22951	2674751
655	22984	2674492
656	23017	2674196
657	23050	2673921
658	23084	2673776
659	23122	2674111
660	23157	2674064
661	23190	2673858
662	23224	2673703
663	23256	2673233
664	23289	2673035
665	23323	2672798
666	23355	2672435
667	23386	2672032
668	23419	2671705
669	23452	2671464
670	23486	2671266
671	23521	2671218
672	23555	2671134
673	23590	2671085
674	23622	2670757
675	23656	2670525
676	23687	2670086
677	23719	2669656
678	23751	2669305
679	23785	2669226
680	23820	2669108
681	23852	2668786
682	23885	2668504
683	23924	2668915
684	23964	2669460
685	24015	2671252
686	24063	2672632
687	24107	2673607
688	24145	2673888
689	24178	2673616
690	24210	2673241
691	24246	2673318
692	24279	2673030
693	24316	2673226
694	24354	2673481
695	24385	2673092
696	24418	2672830
697	24452	2672615
698	24490	2672884
699	24522	2672610
700	24556	2672389
701	24589	2672126
702	24622	2671880
703	24657	2671851
704	24691	2671762
705	24729	2671986
706	24761	2671598
707	24793	2671267
708	24825	2670886
709	24856	2670429
710	24891	2670417
711	24924	2670156
712	24957	2669909
713	24988	2669429
714	25020	2669057
715	25052	2668792
716	25087	2668733
717	25120	2668440
718	25151	2667983
719	25184	2667728
720	25217	2667580
721	25250	2667332
722	25284	2667197
723	25323	2667490
724	25357	2667353
725	25390	2667106
726	25422	2666861
727	25455	2666614
728	25486	2666099
729	25520	2665976
730	25555	2665995
731	25588	2665759
732	25620	2665380
733	25653	2665168
734	25685	2664745
735	25718	2664558
736	25751	2664337
737	25786	2664294
738	25821	2664235
739	25853	2663953
740	25886	2663644
741	25919	2663455
742	25953	2663331
743	25985	2663028
744	26019	2662809
745	26052	2662658
746	26086	2662505
747	26120	2662331
748	26153	2662161
749	26191	2662380
750	26230	2662748
751	26272	2663444
752	26312	2663984
753	26356	2664886
754	26400	2665667
755	26434	2665603
756	26467	2665354
757	26499	2665009
758	26531	2664658
759	26563	2664341
760	26595	2664067
761	26630	2663952
762	26661	2663609
763	26695	2663414
764	26726	2663050
765	26760	2662867
766	26793	2662683
767	26826	2662445
768	26865	2662827
769	26898	2662569
770	26930	2662275
771	26963	2662050
772	26996	2661743
773	27029	2661607
774	27061	2661242
775	27096	2661244
776	27135	2661628
777	27169	2661424
778	27200	2661073
779	27233	2660847
780	27265	2660494
781	27300	2660490
782	27337	2660632
783	27371	2660504
784	27404	2660250
785	27438	2660159
786	27470	2659828
787	27506	2659956
788	27539	2659753
789	27573	2659608
790	27607	2659419
791	27640	2659242
792	27677	2659381
793	27709	2659077
794	27743	2659012
795	27777	2658904
796	27810	2658660
797	27843	2658435
798	27876	2658219
799	27909	2658020
800	27943	2657905
801	27980	2658016
802	28020	2658445
803	28055	2658512
804	28089	2658349
805	28122	2658099
806	28155	2657912
807	28190	2657868
808	28221	2657477
809	28255	2657387
810	28294	2657736
811	28327	2657562
812	28360	2657271
813	28393	2657098
814	28425	2656836
815	28464	2657162
816	28503	2657515
817	28543	2657935
818	28581	2658199
819	28622	2658720
820	28662	2659114
821	28694	2658850
822	28729	2658786
823	28762	2658596
824	28794	2658265
825	28826	2657991
826	28860	2657846
827	28894	2657751
828	28927	2657521
829	28960	2657349
830	28996	2657400
831	29029	2657232
832	29062	2657012
833	29095	2656754
834	29126	2656436
835	29159	2656198
836	29191	2655881
837	29224	2655687
838	29257	2655454
839	29291	2655369
840	29324	2655194
841	29358	2655058
842	29392	2654909
843	29427	2654944
844	29467	2655394
845	29501	2655271
846	29534	2655068
847	29568	2654931
848	29601	2654717
849	29635	2654595
850	29668	2654400
851	29701	2654219
852	29734	2653976
853	29768	2653885
854	29802	2653787
855	29835	2653546
856	29870	2653565
857	29903	2653387
858	29937	2653223
859	29970	2653070
860	30004	2652982
861	30039	2652893
862	30073	2652819
863	30106	2652612
864	30138	2652359
865	30174	2652352
866	30207	2652235
867	30244	2652366
868	30277	2652192
869	30310	2651940
870	30344	2651824
871	30377	2651654
872	30409	2651389
873	30441	2651120
874	30478	2651272
875	30516	2651528
876	30548	2651234
877	30582	2651061
878	30615	2650865
879	30648	2650703
880	30681	2650512
881	30717	2650559
882	30761	2651315
883	30800	2651661
884	30838	2651872
885	30878	2652350
886	30924	2653241
887	30966	2653774
888	31001	2653816
889	31034	2653568
890	31067	2653393
891	31105	2653615
892	31140	2653566
893	31174	2653534
894	31208	2653365
895	31241	2653227
896	31273	2652910
897	31307	2652765
898	31340	2652634
899	31379	2652951
900	31411	2652688
901	31444	2652497
902	31478	2652341
903	31512	2652259
904	31546	2652151
905	31590	2652899
906	31623	2652666
907	31656	2652487
908	31692	2652521
909	31725	2652316
910	31758	2652174
911	31790	2651903
912	31823	2651712
913	31857	2651593
914	31889	2651360
915	31922	2651118
916	31953	2650764
917	31988	2650754
918	32021	2650537
919	32054	2650350
920	32087	2650157
921	32120	2649985
922	32158	2650257
923	32195	2650378
924	32227	2650139
925	32263	2650140
926	32295	2649935
927	32327	2649670
928	32362	2649596
929	32396	2649515
930	32434	2649726
931	32467	2649546
932	32500	2649328
933	32533	2649149
934	32565	2648903
935	32603	2649106
936	32634	2648781
937	32667	2648622
938	32701	2648527
939	32736	2648478
940	32768	2648210
941	32800	2647959
942	32833	2647814
943	32871	2647996
944	32905	2647872
945	32937	2647632
946	32970	2647425
947	33006	2647509
948	33047	2647992
949	33087	2648323
950	33125	2648604
951	33166	2649038
952	33203	2649146
953	33235	2648918
954	33268	2648735
955	33302	2648596
956	33333	2648262
957	33364	2647983
958	33399	2647913
959	33432	2647763
960	33465	2647533
961	33508	2648207
962	33540	2647962
963	33573	2647738
